Scraped_URL,Type,Price,Bath(s),Area,Purpose,Bedroom(s),Added,Location,Description,Amenities: Main Features,Amenities: Rooms,Amenities: Business and Communication,Amenities: Community Features,Amenities: Healthcare Recreational,Amenities: Nearby Locations and Other Facilities,Amenities: Other Facilities,Initial Amount,Monthly Installment,Remaining Installments
https://www.zameen.com/Property/d_12_d-12_2_10_marla_luxury_brand_new_park_face_house_available_for_sale-52432761-3155-1.html,House,PKR12 Crore,7,10 Marla,For Sale,6,2 days ago,"D-12, Islamabad, Islamabad Capital",10 MARLA LUXXARY BRAND NEW PARK FACE AVAILABLE FOR SALE WITH FOLLOWING ACCOMODATION 6 BEDROOM WITH ATTACH BATH 2 KITCHEN 2 D+D LOUNHG SERVENT QUARTER FRONT OPEN PARK FACE EXTRA LEND sonex and porta sanitary installed FOR MORE DETAILS PLZ CONTECT,"Built in year, Parking Spaces: 4, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features","Bedrooms: 6, Bathrooms: 8, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Security Staff, Other Facilities",,,
https://www.zameen.com/Property/d_12_d-12_4_4_44_marla_single_unit_luxury_house_cda_sector_d-12_4_islamabad-52990354-3157-1.html,House,PKR4.3 Crore,5,4.4 Marla,For Sale,3,2 days ago,"D-12, Islamabad, Islamabad Capital","4.44 Marla Single Unit Luxury House with Open View CDA Sector D-12/4, Islamabad Presenting a luxury single-unit home in the highly sought-after CDA Sector D-12/4, offering an unobstructed open view and a prime residential setting. This property blends modern design with comfort, making it perfect for families or investors. Property Features: 3 spacious bedrooms with attached bathrooms Elegant drawing room and cozy lounge 1 modern kitchen with quality fittings Servant quarter for added convenience 1 car parking space Electricity and water bore available Currently rented at Rs. 135,000 per month, this home ensures a steady rental income alongside excellent value appreciation potential. Demand: Rs. 4,50,00,000 Location: CDA Sector D-12/4, Islamabad A perfect combination of luxury, location, and investment potentialenjoy the serene open view while living in one of Islamabads most prestigious sectors.","Built in year, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features","Bedrooms: 3, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Security Staff, Other Facilities",,,
https://www.zameen.com/Property/d_12_d-12_1_5_marla_double_unit_front-open_house_for_sale_in_cda_sector_d-12_1_islamabad-52990287-3154-1.html,House,PKR5.75 Crore,6,5 Marla,For Sale,5,2 days ago,"D-12, Islamabad, Islamabad Capital","5 Marla Double Unit Front-Open 50 ft street House for Sale in CDA Sector D-12/1, Islamabad Discover this beautiful front-open 5 Marla double unit house in the prestigious CDA Sector D-12/1, offering an unobstructed open view and a prime location. This well-designed home features: 5 spacious bedrooms with attached bathrooms Elegant drawing room and comfortable lounge 2 fully equipped kitchens Servant quarter for added convenience 1 car parking space Complete utility connections: gas, electricity, and water bore The property is currently rented out for Rs. 160,000 per month, making it an excellent investment opportunity as well as a perfect family home. Demand: Rs. 5,75,00,000 Location: CDA Sector D-12/1, Islamabad Experience modern living in a serene environment with a clear, open viewideal for those who value comfort, style,","Built in year: 4, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_h_brand_new_designer_house_for_sale_in_sector_h_back_open_to_boulevard_extreme_top_location_3_bedroom_with_attach_bath_bahria_enclave_islamabad-53356650-11983-1.html,House,PKR2.7 Crore,4,5 Marla,For Sale,3,5 days ago,"Bahria Town, Islamabad, Islamabad Capital","Brand-New Designer House for Sale in Bahria Enclave, Islamabad (Sector H) Experience modern luxury in this brand-new designer house, perfectly crafted for comfortable living. Spread over 5 marla with dimensions of 26x45, this house features: 3 Spacious Bedrooms each with attached baths. 2 Elegant TV Lounges for family gatherings. Main Kitchen plus a Dirty Kitchen on the ground floor, both fitted with high-quality, imported fixtures. Solid Woodwork and Imported Fittings throughout the house. Solid Doors and Glass Wardrobes adding elegance to every room. Beautiful Chandeliers and modern design elements that enhance the aesthetic appeal. The master bedroom boasts Dual Washbasins for added convenience. The kitchen is equipped with an Automatic Hood, and the house features premium Imported Tiles. A dedicated Washing Area ensures practicality. The rooftop includes a usable room, offering extra space for various needs. All of this is available at a demand of 2 crore 70 lakh PKR. For more details, contact Rana Ehtisham at View Contact Detail . Bahria Enclave offers a secure, well-planned environment with modern amenities, making it an ideal choice for comfortable living.","Built in year: 2025, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/fechs_jinnah_gardens_double_storey_house_is_available_for_sale-49808798-1420-1.html,House,PKR3 Crore,6,7 Marla,For Sale,5,2 weeks ago,"FECHS, Islamabad, Islamabad Capital","Now We Found A Beautiful And Luxury House In Jinnah Garden For You In Very Reasonable Price. This House Is Located In Great Location. This House Has 6 Bathrooms And 5 Bedrooms. 7 Marla properties are best for investment as well as living purposes. House you've been looking for is available at the best price, so take action today. Let us help you in your search for a property in Islamabad. Looking to building a home in this city in the near future? Surely, there is no better location than Jinnah Gardens. For an affluent property, the price of Rs. 30000000 isn't much to ask. Buying this property will open up the options for you. You can either keep it as an investment or make the perfect home for your family. Be a proud owner of your own property today. For sound investment advice and options, call us!","Built in year, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 3, Bathrooms: 3, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/g_14_g-14_4_5_marla_25x50_royal_design_house_for_sale_g-14_4_islamabad-52620147-3346-1.html,House,PKR4.85 Crore,6,5 Marla,For Sale,5,4 days ago,"G-14, Islamabad, Islamabad Capital","5 Marla Beautiful House for Sale in Sector G-14, Islamabad Key Features - Location: G-14/4, Islamabad - Size: 25x50 (5 Marla) - Type: Royal Design double story House - Construction: New, A+ construction quality - 40 feet wide Street - Deal: Direct with owner Property Details - Ground Floor: - 2 Bedrooms with attached bathrooms - Open kitchen - TV lounge - Drawing room - Washroom - Car porch - Underground big water tank - 1st Floor: - 2 Bedrooms with attached bathrooms - TV lounge - Separate Kitchen - Drawing room - Terrace - Mumty Room with attached bathroom - Amenities: - Water bore available and working - Water supply available - Separate electric meter - Gas meter applied - Beautiful front elevation Location Benefits - Near to G-14/4 Markaz, Masjid, School, and Main Double Road. 1 minutes access to srinagar highway (Kashmir Highway). - All basic facilities available for more information and to schedule a viewing! Call / WA now.","Built in year: 2025, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors, Other Main Features, Furnished","Bedrooms, Bathrooms, Servant Quarters, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/islamabad_bani_gala_10_marla_house_for_sale_bani_gala_islamabad-53171975-340-1.html,House,PKR6 Crore,5,15 Marla,For Sale,5,4 weeks ago,"Bani Gala, Islamabad, Islamabad Capital","Brand New 15 Marla Designer Corner House for Sale Bani Gala, Islamabad Prime Location: Near Imran Khan Chowk Property Details: 5 Spacious Bedrooms with Attached Baths 1 Elegant Drawing Room 2 Comfortable TV Lounges 2 Modern Kitchens Servant Room Spacious Terrace & Large Car Porch Facilities & Features: Gated Society 22 ft Wide Closed-End Street Own Water Bore Electricity Meter Installed Nearby Mosque, Hospitals, Markets Close to Schools, Colleges & University Easy Access from: 15 mins from Blue Area via Park Road/Murree Road 10 mins from Murree Road & Park Road Nearby Stores: Town Mart Alpha Cash & Carry Bani Gala Cash & Carry","Built in year, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Furnished","Bedrooms: 5, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities",,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Other Facilities",,,
https://www.zameen.com/Property/islamabad_bani_gala_brand_new_double_storey_house_for_sale_in_bani_gala-53238172-340-1.html,House,PKR6 Crore,6,15 Marla,For Sale,6,4 weeks ago,"Bani Gala, Islamabad, Islamabad Capital","15 Marla Double Story Designer House for Sale in Banigala, Islamabad 5Bedrooms with Attached Washrooms Drawing Room Powder Room 2 TV Lounges 2 Kitchens Store Room Terrace Laundry Area Spacious Car Porch Own Water Boring System Electricity Meter Installed Carpeted Street Sewerage Available Prime Location: Near School Near Main Market Near Cash & Carry Near Hospital Only 12 Minutes Drive to Serena Hotel Perfect Family Home in a Peaceful Neighborhood! Demand 6 crore","Built in year: 2025, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 6, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/islamabad_bani_gala_7_25_marla_house_for_sale_bani_gala-53172266-340-1.html,House,PKR3.65 Crore,6,7 Marla,For Sale,4,4 weeks ago,"Bani Gala, Islamabad, Islamabad Capital","7.25 Marla Corner & Non-Corner Designer Houses for Sale Main Imran Khan Chowk, Bani Gala Islamabad Live Your Dream Life in the Heart of Islamabad! --- Property Features: 4 Spacious Bedrooms with Attached Washrooms 2 Elegant Drawing Rooms 2 Fully Equipped Modern Kitchens 2 Comfortable TV Lounges Wide & Airy Terrace Separate Laundry Area Covered Car Porch Own Water Boring System Electricity Meter Installed 30 ft Wide Street Brand New & Designer-Style Construction --- Prime Location Advantage: Located right near Main Imran Khan Chowk, Bani Gala Enjoy Peaceful Living with Easy City Access! --- Limited Units Available! Call Now Dont Miss Out!","Built in year, Parking Spaces: 2, Double Glazed Windows, Flooring, Floors: 2","Bedrooms: 4, Bathrooms: 6, Drawing Room, Dining Room, Kitchens: 2",,,,,,,,
https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_h_sector_h_5_marla_house_on_main_boulevard_available_on_reasonable_price-53357993-11983-1.html,House,PKR2.68 Crore,4,5 Marla,For Sale,3,1 week ago,"Bahria Town, Islamabad, Islamabad Capital",A Gorgeous 5 Marla Corner House With Original Picture For Sale in Bahria Enclave Islamabad Excellent Exterior As Well As Interior Amazing Finishing Nice And Solid Wood Work Quality Fittings Imported Tiles Flooring Luxury House Best Opportunity For Living Purpose Peaceful And Secure Environment Comprehensive Life Style 2-Stylish Kitchens 3-Bedrooms Attached Washrooms 1-Drawing Room 2-TV Lounge Store Room Car porch Servant Quarter Commercial Masjid School And Park At Walking Distance Contact Us Flor More Details .,"Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal","Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready","Community Lawn or Garden, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque",,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
